crop,temp,humid,moisture,cropage,texture,water
areca,10,0,0,A,clay,8
areca,10,0,10,A,clay,6
areca,10,0,20,A,clay,4
areca,10,0,30,A,clay,2
areca,10,0,40,A,clay,0
areca,10,0,50,A,clay,0
areca,10,0,60,A,clay,0
areca,10,0,70,A,clay,0
areca,10,0,80,A,clay,0
areca,10,0,90,A,clay,0
areca,10,10,0,A,clay,7
areca,10,10,10,A,clay,5
areca,10,10,20,A,clay,3
areca,10,10,30,A,clay,1
areca,10,10,40,A,clay,0
areca,10,10,50,A,clay,0
areca,10,10,60,A,clay,0
areca,10,10,70,A,clay,0
areca,10,10,80,A,clay,0
areca,10,10,90,A,clay,0
areca,10,20,0,A,clay,6
areca,10,20,10,A,clay,4
areca,10,20,20,A,clay,2
areca,10,20,30,A,clay,0
areca,10,20,40,A,clay,0
areca,10,20,50,A,clay,0
areca,10,20,60,A,clay,0
areca,10,20,70,A,clay,0
areca,10,20,80,A,clay,0
areca,10,20,90,A,clay,0
areca,10,30,0,A,clay,5
areca,10,30,10,A,clay,3
areca,10,30,20,A,clay,1
areca,10,30,30,A,clay,0
areca,10,30,40,A,clay,0
areca,10,30,50,A,clay,0
areca,10,30,60,A,clay,0
areca,10,30,70,A,clay,0
areca,10,30,80,A,clay,0
areca,10,30,90,A,clay,0
areca,10,40,0,A,clay,4
areca,10,40,10,A,clay,2
areca,10,40,20,A,clay,0
areca,10,40,30,A,clay,0
areca,10,40,40,A,clay,0
areca,10,40,50,A,clay,0
areca,10,40,60,A,clay,0
areca,10,40,70,A,clay,0
areca,10,40,80,A,clay,0
areca,10,40,90,A,clay,0
areca,10,50,0,A,clay,3
areca,10,50,10,A,clay,1
areca,10,50,20,A,clay,0
areca,10,50,30,A,clay,0
areca,10,50,40,A,clay,0
areca,10,50,50,A,clay,0
areca,10,50,60,A,clay,0
areca,10,50,70,A,clay,0
areca,10,50,80,A,clay,0
areca,10,50,90,A,clay,0
areca,10,60,0,A,clay,2
areca,10,60,10,A,clay,0
areca,10,60,20,A,clay,0
areca,10,60,30,A,clay,0
areca,10,60,40,A,clay,0
areca,10,60,50,A,clay,0
areca,10,60,60,A,clay,0
areca,10,60,70,A,clay,0
areca,10,60,80,A,clay,0
areca,10,60,90,A,clay,0
areca,10,70,0,A,clay,1
areca,10,70,10,A,clay,0
areca,10,70,20,A,clay,0
areca,10,70,30,A,clay,0
areca,10,70,40,A,clay,0
areca,10,70,50,A,clay,0
areca,10,70,60,A,clay,0
areca,10,70,70,A,clay,0
areca,10,70,80,A,clay,0
areca,10,70,90,A,clay,0
areca,10,80,0,A,clay,0
areca,10,80,10,A,clay,0
areca,10,80,20,A,clay,0
areca,10,80,30,A,clay,0
areca,10,80,40,A,clay,0
areca,10,80,50,A,clay,0
areca,10,80,60,A,clay,0
areca,10,80,70,A,clay,0
areca,10,80,80,A,clay,0
areca,10,80,90,A,clay,0
areca,10,90,0,A,clay,0
areca,10,90,10,A,clay,0
areca,10,90,20,A,clay,0
