crop,temp,humid,moisture,cropage,texture,water
coconut,10,0,0,A,clay,84
coconut,10,0,10,A,clay,76
coconut,10,0,20,A,clay,68
coconut,10,0,30,A,clay,60
coconut,10,0,40,A,clay,45
coconut,10,0,50,A,clay,30
coconut,10,0,60,A,clay,15
coconut,10,0,70,A,clay,0
coconut,10,0,80,A,clay,0
coconut,10,0,90,A,clay,0
coconut,10,10,0,A,clay,81
coconut,10,10,10,A,clay,73
coconut,10,10,20,A,clay,65
coconut,10,10,30,A,clay,57
coconut,10,10,40,A,clay,42
coconut,10,10,50,A,clay,27
coconut,10,10,60,A,clay,12
coconut,10,10,70,A,clay,0
coconut,10,10,80,A,clay,0
coconut,10,10,90,A,clay,0
coconut,10,20,0,A,clay,78
coconut,10,20,10,A,clay,70
coconut,10,20,20,A,clay,62
coconut,10,20,30,A,clay,54
coconut,10,20,40,A,clay,39
coconut,10,20,50,A,clay,24
coconut,10,20,60,A,clay,9
coconut,10,20,70,A,clay,0
coconut,10,20,80,A,clay,0
coconut,10,20,90,A,clay,0
coconut,10,30,0,A,clay,75
coconut,10,30,10,A,clay,67
coconut,10,30,20,A,clay,59
coconut,10,30,30,A,clay,51
coconut,10,30,40,A,clay,36
coconut,10,30,50,A,clay,21
coconut,10,30,60,A,clay,6
coconut,10,30,70,A,clay,0
coconut,10,30,80,A,clay,0
coconut,10,30,90,A,clay,0
coconut,10,40,0,A,clay,72
coconut,10,40,10,A,clay,64
coconut,10,40,20,A,clay,56
coconut,10,40,30,A,clay,48
coconut,10,40,40,A,clay,33
coconut,10,40,50,A,clay,18
coconut,10,40,60,A,clay,3
coconut,10,40,70,A,clay,0
coconut,10,40,80,A,clay,0
coconut,10,40,90,A,clay,0
coconut,10,50,0,A,clay,69
coconut,10,50,10,A,clay,61
coconut,10,50,20,A,clay,53
coconut,10,50,30,A,clay,45
coconut,10,50,40,A,clay,30
coconut,10,50,50,A,clay,15
coconut,10,50,60,A,clay,0
coconut,10,50,70,A,clay,0
coconut,10,50,80,A,clay,0
coconut,10,50,90,A,clay,0
coconut,10,60,0,A,clay,66
coconut,10,60,10,A,clay,58
coconut,10,60,20,A,clay,50
coconut,10,60,30,A,clay,42
coconut,10,60,40,A,clay,27
coconut,10,60,50,A,clay,12
coconut,10,60,60,A,clay,0
coconut,10,60,70,A,clay,0
coconut,10,60,80,A,clay,0
coconut,10,60,90,A,clay,0
coconut,10,70,0,A,clay,63
coconut,10,70,10,A,clay,55
coconut,10,70,20,A,clay,47
coconut,10,70,30,A,clay,39
coconut,10,70,40,A,clay,24
coconut,10,70,50,A,clay,9
coconut,10,70,60,A,clay,0
coconut,10,70,70,A,clay,0
coconut,10,70,80,A,clay,0
coconut,10,70,90,A,clay,0
coconut,10,80,0,A,clay,60
coconut,10,80,10,A,clay,52
coconut,10,80,20,A,clay,44
coconut,10,80,30,A,clay,36
coconut,10,80,40,A,clay,21
coconut,10,80,50,A,clay,6
coconut,10,80,60,A,clay,0
coconut,10,80,70,A,clay,0
coconut,10,80,80,A,clay,0
coconut,10,80,90,A,clay,0
coconut,10,90,0,A,clay,57
coconut,10,90,10,A,clay,49
coconut,10,90,20,A,clay,41
coconut,10,90,30,A,clay,33
coconut,10,90,40,A,clay,18
coconut,10,90,50,A,clay,3
coconut,10,90,60,A,clay,0
coconut,10,90,70,A,clay,0
coconut,10,90,80,A,clay,0
coconut,10,90,90,A,clay,0
coconut,11,0,0,A,clay,85
coconut,11,0,10,A,clay,77
coconut,11,0,20,A,clay,69
coconut,11,0,30,A,clay,61
coconut,11,0,40,A,clay,46
coconut,11,0,50,A,clay,31
coconut,11,0,60,A,clay,16
coconut,11,0,70,A,clay,1
coconut,11,0,80,A,clay,0
coconut,11,0,90,A,clay,0
coconut,11,10,0,A,clay,82
coconut,11,10,10,A,clay,74
coconut,11,10,20,A,clay,66
coconut,11,10,30,A,clay,58
coconut,11,10,40,A,clay,43
coconut,11,10,50,A,clay,28
coconut,11,10,60,A,clay,13
coconut,11,10,70,A,clay,0
coconut,11,10,80,A,clay,0
coconut,11,10,90,A,clay,0
coconut,11,20,0,A,clay,79
coconut,11,20,10,A,clay,71
coconut,11,20,20,A,clay,63
coconut,11,20,30,A,clay,55
coconut,11,20,40,A,clay,40
coconut,11,20,50,A,clay,25
coconut,11,20,60,A,clay,10
coconut,11,20,70,A,clay,0
coconut,11,20,80,A,clay,0
coconut,11,20,90,A,clay,0
coconut,11,30,0,A,clay,76
coconut,11,30,10,A,clay,68
coconut,11,30,20,A,clay,60
coconut,11,30,30,A,clay,52
coconut,11,30,40,A,clay,37
coconut,11,30,50,A,clay,22
coconut,11,30,60,A,clay,7
coconut,11,30,70,A,clay,0
coconut,11,30,80,A,clay,0
coconut,11,30,90,A,clay,0
coconut,11,40,0,A,clay,73
coconut,11,40,10,A,clay,65
coconut,11,40,20,A,clay,57
coconut,11,40,30,A,clay,49
coconut,11,40,40,A,clay,34
coconut,11,40,50,A,clay,19
coconut,11,40,60,A,clay,4
coconut,11,40,70,A,clay,0
coconut,11,40,80,A,clay,0
coconut,11,40,90,A,clay,0
coconut,11,50,0,A,clay,70
coconut,11,50,10,A,clay,62
coconut,11,50,20,A,clay,54
coconut,11,50,30,A,clay,46
coconut,11,50,40,A,clay,31
coconut,11,50,50,A,clay,16
coconut,11,50,60,A,clay,1
coconut,11,50,70,A,clay,0
coconut,11,50,80,A,clay,0
coconut,11,50,90,A,clay,0
coconut,11,60,0,A,clay,67
coconut,11,60,10,A,clay,59
coconut,11,60,20,A,clay,51
coconut,11,60,30,A,clay,43
coconut,11,60,40,A,clay,28
coconut,11,60,50,A,clay,13
coconut,11,60,60,A,clay,0
coconut,11,60,70,A,clay,0
coconut,11,60,80,A,clay,0
coconut,11,60,90,A,clay,0
coconut,11,70,0,A,clay,64
coconut,11,70,10,A,clay,56
coconut,11,70,20,A,clay,48
coconut,11,70,30,A,clay,40
coconut,11,70,40,A,clay,25
coconut,11,70,50,A,clay,10
coconut,11,70,60,A,clay,0
coconut,11,70,70,A,clay,0
coconut,11,70,80,A,clay,0
coconut,11,70,90,A,clay,0
coconut,11,80,0,A,clay,61
coconut,11,80,10,A,clay,53
coconut,11,80,20,A,clay,45
coconut,11,80,30,A,clay,37
coconut,11,80,40,A,clay,22
coconut,11,80,50,A,clay,7
coconut,11,80,60,A,clay,0
coconut,11,80,70,A,clay,0
coconut,11,80,80,A,clay,0
coconut,11,80,90,A,clay,0
coconut,11,90,0,A,clay,58
coconut,11,90,10,A,clay,50
coconut,11,90,20,A,clay,42
coconut,11,90,30,A,clay,34
coconut,11,90,40,A,clay,19
coconut,11,90,50,A,clay,4
coconut,11,90,60,A,clay,0
coconut,11,90,70,A,clay,0
coconut,11,90,80,A,clay,0
coconut,11,90,90,A,clay,0
coconut,12,0,0,A,clay,86
coconut,12,0,10,A,clay,78
coconut,12,0,20,A,clay,70
coconut,12,0,30,A,clay,62
coconut,12,0,40,A,clay,47
coconut,12,0,50,A,clay,32
coconut,12,0,60,A,clay,17
coconut,12,0,70,A,clay,2
coconut,12,0,80,A,clay,0
coconut,12,0,90,A,clay,0
coconut,12,10,0,A,clay,83
coconut,12,10,10,A,clay,75
coconut,12,10,20,A,clay,67
coconut,12,10,30,A,clay,59
coconut,12,10,40,A,clay,44
coconut,12,10,50,A,clay,29
coconut,12,10,60,A,clay,14
coconut,12,10,70,A,clay,0
coconut,12,10,80,A,clay,0
coconut,12,10,90,A,clay,0
coconut,12,20,0,A,clay,80
coconut,12,20,10,A,clay,72
coconut,12,20,20,A,clay,64
coconut,12,20,30,A,clay,56
coconut,12,20,40,A,clay,41
coconut,12,20,50,A,clay,26
coconut,12,20,60,A,clay,11
coconut,12,20,70,A,clay,0
coconut,12,20,80,A,clay,0
coconut,12,20,90,A,clay,0
coconut,12,30,0,A,clay,77
coconut,12,30,10,A,clay,69
coconut,12,30,20,A,clay,61
coconut,12,30,30,A,clay,53
coconut,12,30,40,A,clay,38
coconut,12,30,50,A,clay,23
coconut,12,30,60,A,clay,8
coconut,12,30,70,A,clay,0
coconut,12,30,80,A,clay,0
coconut,12,30,90,A,clay,0
coconut,12,40,0,A,clay,74
coconut,12,40,10,A,clay,66
coconut,12,40,20,A,clay,58
coconut,12,40,30,A,clay,50
coconut,12,40,40,A,clay,35
coconut,12,40,50,A,clay,20
coconut,12,40,60,A,clay,5
coconut,12,40,70,A,clay,0
coconut,12,40,80,A,clay,0
coconut,12,40,90,A,clay,0
coconut,12,50,0,A,clay,71
coconut,12,50,10,A,clay,63
coconut,12,50,20,A,clay,55
coconut,12,50,30,A,clay,47
coconut,12,50,40,A,clay,32
coconut,12,50,50,A,clay,17
coconut,12,50,60,A,clay,2
coconut,12,50,70,A,clay,0
coconut,12,50,80,A,clay,0
coconut,12,50,90,A,clay,0
coconut,12,60,0,A,clay,68
coconut,12,60,10,A,clay,60
coconut,12,60,20,A,clay,52
coconut,12,60,30,A,clay,44
coconut,12,60,40,A,clay,29
coconut,12,60,50,A,clay,14
coconut,12,60,60,A,clay,0
coconut,12,60,70,A,clay,0
coconut,12,60,80,A,clay,0
coconut,12,60,90,A,clay,0
coconut,12,70,0,A,clay,65
coconut,12,70,10,A,clay,57
coconut,12,70,20,A,clay,49
coconut,12,70,30,A,clay,41
coconut,12,70,40,A,clay,26
coconut,12,70,50,A,clay,11
coconut,12,70,60,A,clay,0
coconut,12,70,70,A,clay,0
coconut,12,70,80,A,clay,0
coconut,12,70,90,A,clay,0
coconut,12,80,0,A,clay,62
coconut,12,80,10,A,clay,54
coconut,12,80,20,A,clay,46
coconut,12,80,30,A,clay,38
coconut,12,80,40,A,clay,23
coconut,12,80,50,A,clay,8
coconut,12,80,60,A,clay,0
coconut,12,80,70,A,clay,0
coconut,12,80,80,A,clay,0
coconut,12,80,90,A,clay,0
coconut,12,90,0,A,clay,59
coconut,12,90,10,A,clay,51
coconut,12,90,20,A,clay,43
coconut,12,90,30,A,clay,35
coconut,12,90,40,A,clay,20
coconut,12,90,50,A,clay,5
coconut,12,90,60,A,clay,0
coconut,12,90,70,A,clay,0
coconut,12,90,80,A,clay,0
coconut,12,90,90,A,clay,0
coconut,13,0,0,A,clay,87
coconut,13,0,10,A,clay,79
coconut,13,0,20,A,clay,71
coconut,13,0,30,A,clay,63
coconut,13,0,40,A,clay,48
coconut,13,0,50,A,clay,33
coconut,13,0,60,A,clay,18
coconut,13,0,70,A,clay,3
coconut,13,0,80,A,clay,0
coconut,13,0,90,A,clay,0
coconut,13,10,0,A,clay,84
coconut,13,10,10,A,clay,76
coconut,13,10,20,A,clay,68
coconut,13,10,30,A,clay,60
coconut,13,10,40,A,clay,45
coconut,13,10,50,A,clay,30
coconut,13,10,60,A,clay,15
coconut,13,10,70,A,clay,0
coconut,13,10,80,A,clay,0
coconut,13,10,90,A,clay,0
coconut,13,20,0,A,clay,81
coconut,13,20,10,A,clay,73
coconut,13,20,20,A,clay,65
coconut,13,20,30,A,clay,57
coconut,13,20,40,A,clay,42
coconut,13,20,50,A,clay,27
coconut,13,20,60,A,clay,12
coconut,13,20,70,A,clay,0
coconut,13,20,80,A,clay,0
coconut,13,20,90,A,clay,0
coconut,13,30,0,A,clay,78
coconut,13,30,10,A,clay,70
coconut,13,30,20,A,clay,62
coconut,13,30,30,A,clay,54
coconut,13,30,40,A,clay,39
coconut,13,30,50,A,clay,24
coconut,13,30,60,A,clay,9
coconut,13,30,70,A,clay,0
coconut,13,30,80,A,clay,0
coconut,13,30,90,A,clay,0
coconut,13,40,0,A,clay,75
coconut,13,40,10,A,clay,67
coconut,13,40,20,A,clay,59
coconut,13,40,30,A,clay,51
coconut,13,40,40,A,clay,36
coconut,13,40,50,A,clay,21
coconut,13,40,60,A,clay,6
coconut,13,40,70,A,clay,0
coconut,13,40,80,A,clay,0
coconut,13,40,90,A,clay,0
coconut,13,50,0,A,clay,72
coconut,13,50,10,A,clay,64
coconut,13,50,20,A,clay,56
coconut,13,50,30,A,clay,48
coconut,13,50,40,A,clay,33
coconut,13,50,50,A,clay,18
coconut,13,50,60,A,clay,3
coconut,13,50,70,A,clay,0
coconut,13,50,80,A,clay,0
coconut,13,50,90,A,clay,0
coconut,13,60,0,A,clay,69
coconut,13,60,10,A,clay,61
coconut,13,60,20,A,clay,53
coconut,13,60,30,A,clay,45
coconut,13,60,40,A,clay,30
coconut,13,60,50,A,clay,15
coconut,13,60,60,A,clay,0
coconut,13,60,70,A,clay,0
coconut,13,60,80,A,clay,0
coconut,13,60,90,A,clay,0
coconut,13,70,0,A,clay,66
coconut,13,70,10,A,clay,58
coconut,13,70,20,A,clay,50
coconut,13,70,30,A,clay,42
coconut,13,70,40,A,clay,27
coconut,13,70,50,A,clay,12
coconut,13,70,60,A,clay,0
coconut,13,70,70,A,clay,0
coconut,13,70,80,A,clay,0
coconut,13,70,90,A,clay,0
coconut,13,80,0,A,clay,63
coconut,13,80,10,A,clay,55
coconut,13,80,20,A,clay,47
coconut,13,80,30,A,clay,39
coconut,13,80,40,A,clay,24
coconut,13,80,50,A,clay,9
coconut,13,80,60,A,clay,0
coconut,13,80,70,A,clay,0
coconut,13,80,80,A,clay,0
coconut,13,80,90,A,clay,0
coconut,13,90,0,A,clay,60
coconut,13,90,10,A,clay,52
coconut,13,90,20,A,clay,44
coconut,13,90,30,A,clay,36
coconut,13,90,40,A,clay,21
coconut,13,90,50,A,clay,6
coconut,13,90,60,A,clay,0
coconut,13,90,70,A,clay,0
coconut,13,90,80,A,clay,0
coconut,13,90,90,A,clay,0
coconut,14,0,0,A,clay,88
coconut,14,0,10,A,clay,80
coconut,14,0,20,A,clay,72
coconut,14,0,30,A,clay,64
coconut,14,0,40,A,clay,49
coconut,14,0,50,A,clay,34
coconut,14,0,60,A,clay,19
coconut,14,0,70,A,clay,4
coconut,14,0,80,A,clay,0
coconut,14,0,90,A,clay,0
coconut,14,10,0,A,clay,85
coconut,14,10,10,A,clay,77
coconut,14,10,20,A,clay,69
coconut,14,10,30,A,clay,61
coconut,14,10,40,A,clay,46
coconut,14,10,50,A,clay,31
coconut,14,10,60,A,clay,16
coconut,14,10,70,A,clay,1
coconut,14,10,80,A,clay,0
coconut,14,10,90,A,clay,0
coconut,14,20,0,A,clay,82
coconut,14,20,10,A,clay,74
coconut,14,20,20,A,clay,66
coconut,14,20,30,A,clay,58
coconut,14,20,40,A,clay,43
coconut,14,20,50,A,clay,28
coconut,14,20,60,A,clay,13
coconut,14,20,70,A,clay,0
coconut,14,20,80,A,clay,0
coconut,14,20,90,A,clay,0
coconut,14,30,0,A,clay,79
coconut,14,30,10,A,clay,71
coconut,14,30,20,A,clay,63
coconut,14,30,30,A,clay,55
coconut,14,30,40,A,clay,40
coconut,14,30,50,A,clay,25
coconut,14,30,60,A,clay,10
coconut,14,30,70,A,clay,0
coconut,14,30,80,A,clay,0
coconut,14,30,90,A,clay,0
coconut,14,40,0,A,clay,76
coconut,14,40,10,A,clay,68
coconut,14,40,20,A,clay,60
coconut,14,40,30,A,clay,52
coconut,14,40,40,A,clay,37
coconut,14,40,50,A,clay,22
coconut,14,40,60,A,clay,7
coconut,14,40,70,A,clay,0
coconut,14,40,80,A,clay,0
coconut,14,40,90,A,clay,0
coconut,14,50,0,A,clay,73
coconut,14,50,10,A,clay,65
coconut,14,50,20,A,clay,57
coconut,14,50,30,A,clay,49
coconut,14,50,40,A,clay,34
coconut,14,50,50,A,clay,19
coconut,14,50,60,A,clay,4
coconut,14,50,70,A,clay,0
coconut,14,50,80,A,clay,0
coconut,14,50,90,A,clay,0
coconut,14,60,0,A,clay,70
coconut,14,60,10,A,clay,62
coconut,14,60,20,A,clay,54
coconut,14,60,30,A,clay,46
coconut,14,60,40,A,clay,31
coconut,14,60,50,A,clay,16
coconut,14,60,60,A,clay,1
coconut,14,60,70,A,clay,0
coconut,14,60,80,A,clay,0
coconut,14,60,90,A,clay,0
coconut,14,70,0,A,clay,67
coconut,14,70,10,A,clay,59
coconut,14,70,20,A,clay,51
coconut,14,70,30,A,clay,43
coconut,14,70,40,A,clay,28
coconut,14,70,50,A,clay,13
coconut,14,70,60,A,clay,0
coconut,14,70,70,A,clay,0
coconut,14,70,80,A,clay,0
coconut,14,70,90,A,clay,0
coconut,14,80,0,A,clay,64
coconut,14,80,10,A,clay,56
coconut,14,80,20,A,clay,48
coconut,14,80,30,A,clay,40
coconut,14,80,40,A,clay,25
coconut,14,80,50,A,clay,10
coconut,14,80,60,A,clay,0
coconut,14,80,70,A,clay,0
coconut,14,80,80,A,clay,0
coconut,14,80,90,A,clay,0
coconut,14,90,0,A,clay,61
coconut,14,90,10,A,clay,53
coconut,14,90,20,A,clay,45
coconut,14,90,30,A,clay,37
coconut,14,90,40,A,clay,22
coconut,14,90,50,A,clay,7
coconut,14,90,60,A,clay,0
coconut,14,90,70,A,clay,0
coconut,14,90,80,A,clay,0
coconut,14,90,90,A,clay,0
coconut,15,0,0,A,clay,89
coconut,15,0,10,A,clay,81
coconut,15,0,20,A,clay,73
coconut,15,0,30,A,clay,65
coconut,15,0,40,A,clay,50
coconut,15,0,50,A,clay,35
coconut,15,0,60,A,clay,20
coconut,15,0,70,A,clay,5
coconut,15,0,80,A,clay,0
coconut,15,0,90,A,clay,0
coconut,15,10,0,A,clay,86
coconut,15,10,10,A,clay,78
coconut,15,10,20,A,clay,70
coconut,15,10,30,A,clay,62
coconut,15,10,40,A,clay,47
coconut,15,10,50,A,clay,32
coconut,15,10,60,A,clay,17
coconut,15,10,70,A,clay,2
coconut,15,10,80,A,clay,0
coconut,15,10,90,A,clay,0
coconut,15,20,0,A,clay,83
coconut,15,20,10,A,clay,75
coconut,15,20,20,A,clay,67
coconut,15,20,30,A,clay,59
coconut,15,20,40,A,clay,44
coconut,15,20,50,A,clay,29
coconut,15,20,60,A,clay,14
coconut,15,20,70,A,clay,0
coconut,15,20,80,A,clay,0
coconut,15,20,90,A,clay,0
coconut,15,30,0,A,clay,80
coconut,15,30,10,A,clay,72
coconut,15,30,20,A,clay,64
coconut,15,30,30,A,clay,56
coconut,15,30,40,A,clay,41
coconut,15,30,50,A,clay,26
coconut,15,30,60,A,clay,11
coconut,15,30,70,A,clay,0
coconut,15,30,80,A,clay,0
coconut,15,30,90,A,clay,0
coconut,15,40,0,A,clay,77
coconut,15,40,10,A,clay,69
